web-scraper-order,web-scraper-start-url,Type_habit,Prix,Adresse,Image_lien-src
"1739917822-1038","https://sn.coinafrique.com/categorie/vetements-enfants","Caleçon enfant","1 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2433719_uploaded_image1_1594643418.jpg"
"1739917822-1039","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements Enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2431713_uploaded_image1_1594596099.jpg"
"1739917822-1040","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfants","12 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2431632_uploaded_image1_1594593877.jpg"
"1739917822-1041","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428852_uploaded_image1_1594515370.jpg"
"1739917822-1042","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428849_uploaded_image1_1594515342.jpg"
"1739917822-1043","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428847_uploaded_image1_1594515313.jpg"
"1739917822-1044","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements Enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428844_uploaded_image1_1594515281.jpg"
"1739917822-1045","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428841_uploaded_image1_1594515248.jpg"
"1739917822-1046","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements Enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428839_uploaded_image1_1594515222.jpg"
"1739917822-1047","https://sn.coinafrique.com/categorie/vetements-enfants","Polo - short","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428836_uploaded_image1_1594515186.jpg"
"1739917822-1048","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428835_uploaded_image1_1594515153.jpg"
"1739917822-1049","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428833_uploaded_image1_1594515123.jpg"
"1739917822-1050","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428831_uploaded_image1_1594515098.jpg"
